1_1,1_2,1_3,1_4,1_5,2_2,2_3,2_4,2_5,3_3,3_4,3_5,4_4,4_5,5_5,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,go_x,go_y
29.77699336,21.86759949,21.57815738,31.86508386,24.439682,13.95820562,13.66876351,23.95568999,16.53028813,13.3793214,23.66624788,16.24084602,33.95317436,26.52777251,19.10237065,-4.311670147,-7.624093706,4.531109348,2.162978975,0.537762033,4.900556138,0.991325917,0.138790397,2.591798093,-8.660666142,5.739358015,3.762022815,0.427497516,5.927506527,4.431059884,7.127163736,0.759787308
19.84758601,18.91214487,18.27457151,26.79237336,19.16525219,17.97670373,17.33913037,25.85693222,18.22981105,16.70155702,25.21935887,17.59223769,33.73716071,26.11003954,18.48291837,5.888940224,1.89812236,3.030262178,4.538189119,2.438315643,4.064471849,-6.74209378,-1.285463249,5.523201451,6.349183716,-9.504540323,3.054414156,-8.437393166,7.36285055,6.914313845,-3.331441839,3.967840547
17.27112802,15.77257158,26.89731817,19.12667242,16.93449447,14.27401515,25.39876174,17.62811599,15.43593803,36.52350833,28.75286258,26.56068462,20.98221683,18.79003888,16.59786092,-3.536471421,-1.904382273,3.84811845,-0.165753853,0.292586078,2.144519871,-6.693022641,9.053540595,4.472722592,-2.664891347,1.922124143,4.30505606,7.100959316,-9.574606403,6.183636929,3.25901482,-5.590344414
11.01711617,19.17784767,17.15382104,15.93580368,19.03531871,27.33857917,25.31455254,24.09653518,27.19605021,23.29052591,22.07250855,25.17202358,20.85449119,23.95400622,27.05352125,-4.010995107,8.535676653,4.100755696,7.543136001,-3.195452401,2.571191032,1.474195084,-2.967708839,4.529425963,-5.071357222,-0.039082479,5.414234537,-8.03225926,-3.399054744,2.224563641,-0.457887312,7.585182106
24.05789448,22.03950981,34.49900688,21.81365612,22.01480944,20.02112514,32.48062221,19.79527145,19.99642477,44.94011929,32.25476853,32.45592185,19.56941777,19.77057109,19.97172441,-2.30469254,0.245412767,4.179106748,9.305559063,-1.037269168,2.41909315,-8.392121584,-8.430627415,5.551863371,8.552162171,1.11639407,6.362842293,1.287588461,1.723946328,6.246671227,5.848087071,8.040463957
43.17623311,29.13546741,32.07059942,40.4187795,24.14491782,15.0947017,18.02983371,26.3780138,10.10415211,20.96496572,29.31314581,13.03928412,37.66132589,21.38746421,5.113602521,-9.372493337,4.293177363,2.688689635,4.883032495,-7.514793796,4.892118696,4.06892126,3.262474864,2.944104611,-1.983957099,9.519024238,2.03723149,9.312310348,-4.011467692,2.310679055,9.987126167,-4.873220906
16.11189849,20.03079984,14.82077317,15.50301891,24.10676223,23.9497012,18.73967452,19.42192026,28.02566358,13.52964784,14.21189358,22.8156369,14.89413933,23.49788264,32.10162596,-4.246540699,-3.811938397,5.372126412,-8.249216795,-1.375318421,6.406656731,-0.662689172,-1.19846584,6.034688683,6.52156056,-2.153457177,5.607060436,9.736823924,9.936519705,4.783131644,1.716445163,-3.118125963
37.92084562,37.54742449,34.21210004,30.24730591,28.26657195,37.17400335,33.8386789,29.87388477,27.89315081,30.50335446,26.53856033,24.55782637,22.5737662,20.59303224,18.61229827,1.642321315,-7.706904608,2.926532705,-3.48280668,-9.687087643,3.26319038,6.185574719,8.576891024,2.33792503,1.357297512,7.33403923,4.76042944,-0.5465648,8.745583635,4.062262431,-8.865888058,7.801498769
29.46918721,25.67809248,27.58592397,25.16686824,22.07109543,21.88699775,23.79482924,21.37577351,18.28000071,25.70266073,23.283605,20.18783219,20.86454927,17.76877647,14.67300366,3.708897236,6.189324045,3.381362861,0.744197978,-3.213786842,6.751515239,2.280818714,4.854183823,3.370895042,-8.847310445,7.356676224,3.720305891,-5.943150258,-4.764711616,6.662478423,-7.823549869,-2.335774057
22.06667011,17.62526298,20.54649505,21.51855106,18.23221909,13.18385585,16.10508792,17.07714393,13.79081196,19.02631999,19.99837599,16.71204403,20.970432,17.68410004,14.39776807,8.977349915,-0.90100015,6.951193756,-0.361759586,6.080420723,4.264597448,-1.973506013,9.411698413,3.931061573,0.218472134,-7.002751002,6.567573498,5.248278714,4.413617828,4.492353072,0.660351085,1.158834379
